rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
223,-1,"Dom za vesanje",1988,http://www.icheckmovies.com/movies/dom+za+vesanje/,2609,330,29,11,247,"Time of the Gypsies",http://www.imdb.com/title/tt0097223/,no,no,no,no,no
224,0,"Les quatre cents coups",1959,http://www.icheckmovies.com/movies/les+quatre+cents+coups/,16090,2065,84,26,939,"The 400 Blows",http://www.imdb.com/title/tt0053198/,no,no,no,yes,no
225,0,"La haine",1995,http://www.icheckmovies.com/movies/la+haine/,14504,1753,60,14,529,"La Haine",http://www.imdb.com/title/tt0113247/,no,no,no,yes,no
226,1,"La passion de Jeanne d'Arc",1928,http://www.icheckmovies.com/movies/la+passion+de+jeanne+darc/,10285,1318,87,26,817,"The Passion of Joan of Arc",http://www.imdb.com/title/tt0019254/,no,no,no,no,no
227,-1,Spotlight,2015,http://www.icheckmovies.com/movies/spotlight-2015/,15812,1226,55,8,453,,http://www.imdb.com/title/tt1895587/,"2016-07-26 15:23:48",no,no,no,no
228,0,"Hotel Rwanda",2004,http://www.icheckmovies.com/movies/hotel+rwanda/,44302,2246,132,10,386,,http://www.imdb.com/title/tt0395169/,"2009-11-14 17:45:24",no,no,no,no
229,0,"Amores perros",2000,http://www.icheckmovies.com/movies/amores+perros/,23825,2235,140,16,555,"Amores Perros",http://www.imdb.com/title/tt0245712/,no,no,no,yes,no
230,0,"Andrey Rublev",1966,http://www.icheckmovies.com/movies/andrey+rublev/,6383,925,86,29,686,"Andrei Rublev",http://www.imdb.com/title/tt0060107/,no,no,no,no,no
231,0,"Gangs of Wasseypur",2012,http://www.icheckmovies.com/movies/gangs+of+wasseypur/,1336,132,59,1,142,,http://www.imdb.com/title/tt1954470/,no,no,no,no,no
232,0,Rocky,1976,http://www.icheckmovies.com/movies/rocky/,69809,2946,340,19,767,,http://www.imdb.com/title/tt0075148/,"2009-11-14 17:49:48",no,no,no,no
233,0,"Monsters, Inc.",2001,http://www.icheckmovies.com/movies/monsters+inc./,117657,5992,210,14,687,,http://www.imdb.com/title/tt0198781/,"2013-06-08 06:42:54",no,no,no,no
234,0,"Kaze no tani no Naushika",1984,http://www.icheckmovies.com/movies/kaze+no+tani+no+naushika/,18362,1846,102,8,495,"Nausicaä of the Valley of the Wind",http://www.imdb.com/title/tt0087544/,no,no,no,yes,no
235,0,Rebecca,1940,http://www.icheckmovies.com/movies/rebecca/,16183,1600,64,22,694,,http://www.imdb.com/title/tt0032976/,no,no,no,yes,no
236,0,"Du rififi chez les hommes",1955,http://www.icheckmovies.com/movies/du+rififi+chez+les+hommes/,4798,757,19,19,524,Rififi,http://www.imdb.com/title/tt0048021/,no,no,no,no,no
237,0,"Rang De Basanti",2006,http://www.icheckmovies.com/movies/rang+de+basanti/,2887,207,125,4,133,,http://www.imdb.com/title/tt0405508/,no,no,no,no,no
